sample	sites	denoised_sites
SRR16077714.coordsorted-Sc0000000	190571	144384
SRR16077714.coordsorted-Sc0000001	202153	166130
SRR16077714.coordsorted-Sc0000002	106816	96281
SRR16077714.coordsorted-Sc0000003	183880	142666
SRR16077714.coordsorted-Sc0000004	150909	112359
SRR16077714.coordsorted-Sc0000005	117847	88909
SRR16077714.coordsorted-Sc0000006	102642	73706
SRR16077714.coordsorted-Sc0000007	49635	37948
SRR16077714.coordsorted-Sc0000008	105795	85580
SRR16077714.coordsorted-Sc0000009	95797	72702
SRR16077714.coordsorted-Sc0000010	40379	33552
SRR16077714.coordsorted-Sc0000011	75722	56809
SRR16077714.coordsorted-Sc0000012	26636	6250
SRR16077714.coordsorted-Sc0000013	61334	57765
SRR16077714.coordsorted-Sc0000014	23939	15865
SRR16077714.coordsorted-Sc0000015	65015	42551
SRR16077714.coordsorted-Sc0000016	34338	23989
SRR16077714.coordsorted-Sc0000017	72276	52725
SRR16077714.coordsorted-Sc0000018	45291	37561
SRR16077714.coordsorted-Sc0000019	50658	36460
SRR16077714.coordsorted-Sc0000020	50735	39551
SRR16077714.coordsorted-Sc0000021	22029	13382
SRR16077714.coordsorted-Sc0000022	35012	28073
SRR16077714.coordsorted-Sc0000023	52501	38613
SRR16077714.coordsorted-Sc0000024	42996	36783
SRR16077714.coordsorted-Sc0000025	32567	19372
SRR16077714.coordsorted-Sc0000026	1136	529
SRR16077714.coordsorted-Sc0000027	1650	537
SRR16077714.coordsorted-Sc0000028	26760	22151
SRR16077714.coordsorted-Sc0000029	33050	27251
SRR16077714.coordsorted-Sc0000030	19082	16104
SRR16077714.coordsorted-Sc0000031	32689	27245
SRR16077714.coordsorted-Sc0000032	7941	3526
SRR16077714.coordsorted-Sc0000033	7233	4393
SRR16077714.coordsorted-Sc0000034	14533	11982
SRR16077714.coordsorted-Sc0000035	21620	17554
SRR16077714.coordsorted-Sc0000036	12883	5151
SRR16077714.coordsorted-Sc0000037	17081	12027
SRR16077714.coordsorted-Sc0000038	15146	13191
SRR16077714.coordsorted-Sc0000039	19749	16313
SRR16077714.coordsorted-Sc0000040	12687	10609
SRR16077714.coordsorted-xfSc0000000	162755	115411
SRR16077714.coordsorted-xfSc0000001	179827	142123
SRR16077714.coordsorted-xfSc0000002	80686	68967
SRR16077714.coordsorted-xfSc0000003	84715	64379
SRR16077714.coordsorted-xfSc0000004	55280	51168
SRR16077714.coordsorted-xfSc0000005	54999	39427
SRR16077714.coordsorted-xfSc0000006	68590	49568
SRR16077714.coordsorted-xfSc0000007	40175	36790
SRR16077714.coordsorted-xfSc0000008	74205	54104
SRR16077714.coordsorted-xfSc0000009	93966	65354
SRR16077714.coordsorted-xfSc0000010	77308	49825
SRR16077714.coordsorted-xfSc0000011	41209	37844
SRR16077714.coordsorted-xfSc0000012	49684	35048
SRR16077714.coordsorted-xfSc0000013	48197	40473
SRR16077714.coordsorted-xfSc0000014	63113	41955
SRR16077714.coordsorted-xfSc0000015	53842	40944
SRR16077714.coordsorted-xfSc0000016	32459	27482
SRR16077714.coordsorted-xfSc0000017	70604	49708
SRR16077714.coordsorted-xfSc0000018	25314	23143
SRR16077714.coordsorted-xfSc0000019	45246	31866
SRR16077714.coordsorted-xfSc0000020	14266	13096
SRR16077714.coordsorted-xfSc0000021	27408	21573
SRR16077714.coordsorted-xfSc0000022	42556	32148
SRR16077714.coordsorted-xfSc0000023	9298	8043
SRR16077714.coordsorted-xfSc0000024	34532	25480
SRR16077714.coordsorted-xfSc0000025	24709	18385
SRR16077714.coordsorted-xfSc0000026	26634	22785
SRR16077714.coordsorted-xfSc0000027	22148	16993
SRR16077714.coordsorted-xfSc0000028	18478	16376
SRR16077714.coordsorted-xfSc0000029	19866	17530
SRR16077714.coordsorted-xfSc0000030	23849	16364
SRR16077714.coordsorted-xfSc0000031	17319	13062
SRR16077714.coordsorted-xfSc0000032	20998	16915
SRR16077714.coordsorted-xfSc0000033	13098	8209
SRR16077714.coordsorted-xfSc0000034	11716	4957
SRR16077714.coordsorted-xfSc0000035	542	216
SRR16077714.coordsorted-xfSc0000036	17515	12925
SRR16077714.coordsorted-xpSc0000387	139223	109896
SRR16077714.coordsorted-xpSc0000388	61405	44836
SRR16077714.coordsorted-xpSc0000389	1914	440
SRR16077714.coordsorted-xpSc0000390	34192	28069
SRR16077714.coordsorted-xpSc0000391	12543	2820
SRR16077714.coordsorted-xpSc0000392	2282	762
SRR16077714.coordsorted-xpSc0000393	31211	25394
SRR16077714.coordsorted-xpSc0000394	16879	6405
